,name,status
23924,لولوه ازدهار بارزة,0
25405,أنارات طامحة تمارة,0
34290,نضال فتلح لقمان,0
14276,عبدالرب معمر حصيف,1
19556,ثراء مدحت عقبة,1
31757,أدهم رئيف صفوت,0
21143,زاهر نضاث كنعان,0
23929,سكينة ميرا رولا,0
24018,مدحة رىا ابتهال,0
5628,ناشد عكرمة عبدالغني,1
4921,لولوه أبان سهيل,1
22746,ريفان مغيرة نهام,0
6458,غياث شداد بشر,1
5988,مشتاق ناهض مسيب,1
7444,آية عبدالرؤوف إحسان,1
21028,لانا ممدوحة هريرة,0
6841,هيمان برهان غالب,1
17593,جلال خباب جرير,1
17830,عزيزة فيضي عريب,1
7963,ممدوح هاني رمضان,1
15502,يمن صلاح حفص,1
23102,مروان فراج شيماء,0
29197,عميد راغبة إناس,0
24785,عتدالودود زاكي كلفت,0
29263,سري صريحة أوسال,0
28772,أماني مءداس مافق,0
29234,عباد إصلاح إخلاص,0
24198,غبرور نىال نصيف,0
36496,لبيد اعتماد ضياء,0
16421,مؤيد عروة مجيب,1
29859,بشري راسخة سالي,0
24641,هدى صافي ناقع,0
1794,مدثر فاروق نضال,1
18415,مهير خلف أسامة,1
36191,كارم آمنة دنيا,0
10467,معد مدرك غوار,1
13049,نصير مرزوق ربيع,1
13666,مدركة فخر مشتاق,1
12844,باهر رزق مجدي,1
2034,ميادة فهمي فتح,1
28271,قبيصة إسراء مينا,0
9079,دانا إياس بهاء,1
21129,راجي ريا شارد,0
9075,عاطفة هلال أبان,1
2893,شجون سامر عيضة,1
33358,ناجح سليم خويلد,0
11207,هلال عبادة فادي,1
7054,سميرة وديع كاسب,1
12369,رافي مطلق معن,1
12754,الريم ناهض محمود,1
998,رصين كاسر مأمون,1
20613,غريب ماهرة تيسير,0
13708,إهداف ذاكر بلال,1
34013,أمينة انشراح مريم,0
17595,نجيبة فاروق عقاب,1
1362,رشيد بديع أرقم,1
13813,سالي أديب هشيم,1
15151,صافي ورد قداح,1
28394,آشات ولاء رؤوف,0
15376,سحر ضاري سيار,1
6302,هائلة فخري ياسر,1
19470,يارا مظهر معين الدين,1
471,ماهرة هائل شجاع,1
9975,سامي هشام نهشل,1
18727,غيد شوكت عميد,1
21574,ةعقاع رائد رفيعا,0
27963,هائل إسعاد سكينة,0
11466,سويد سامح حنبل,1
20996,أبرار شافي تركي,0
35088,سامح خابت أنعث,0
29034,أموبج تلاب كفط,0
34513,مصدق بلقيس أوها,0
5302,عبدالبصير لباب فادي,1
35260,ناشئم يارث حمد,0
5841,نادين زاهر سعدون,1
26359,سكين رامة وفيقة,0
18927,نوار خلف مطيع,1
